Name,Address,Phone,State
City Family Dental Care,"Level 1, Room 23, 12 Collins Street, MELBOURNE VIC 3000",(03) 9654-4455,VIC
Dentist On Collins,"Suite 2, Level 9, 15 Collins Street, MELBOURNE VIC 3000",(03) 9662-1505,VIC
Melbourne Dentist,"Suite 2, Ground Floor, 517 St Kilda Road, MELBOURNE VIC 3004",(03) 9867-1252,VIC
Art De Dente,"Level 17, 190 Queen Street, MELBOURNE VIC 3000",(03) 9642-8955,VIC
Verve Dental Collins Street,"Suite 2, Level 4, 15 Collins Street, MELBOURNE VIC 3000",(03) 9654-5881,VIC
DIEM Dental East Melbourne,"392 Albert Street, EAST MELBOURNE VIC 3002",(03) 9417-5174,VIC
Dental @ Kingsway,"Suite 2, Ground Floor, 222 Kings Way, SOUTH MELBOURNE VIC 3205",(03) 9690-8535,VIC
Docklands Dental Studio,"57 Merchant Street, DOCKLANDS VIC 3008",(03) 9021-9487,VIC
Richmond Family Dental,"32 Elizabeth Street, RICHMOND VIC 3121",(03) 9428-3701,VIC
Bridge Rd Dental,"352 Bridge Road, RICHMOND VIC 3121",(03) 9429-6020,VIC
